pays	population
Albanie	2821977
Allemagne	80219695
Andorre	78115
Arménie	3018914
Autriche	8504850
Azerbaïdjan	9494600
Belgique	11099554
Biélorussie	9468154
Bulgarie	7364570
Chypre (pays)	838897
Chypre du Nord	294906
Croatie	4284889
Danemark	5627235
Espagne	46815916
Estonie	1294486
Finlande	5180000
France	74318764
Grèce	10815197
Géorgie (pays)	4942157
Hongrie	9937628
Irlande (pays)	4588252
Islande	319303
Italie	59433744
Lettonie	2070371
Liechtenstein	33307
Lituanie	3043429
Luxembourg (pays)	439539
Macédoine (pays)	2022547
Malte	416055
Moldavie	3559500
Monaco	35352
Monténégro	625266
Norvège	5136700
Pays-Bas	16819595
Pologne	38544513
Portugal	10562178
Roumanie	20121641
Royaume-Uni	63181775
Russie	143700000
République tchèque	10436560
Saint-Marin	32576
Serbie	7186862
Slovaquie	5397036
Slovénie	1964036
Suisse	7954700
Suède	9644864
Ukraine	48457102
Vatican	839
